Cross_ID	Entry	Awns	WDR	flowering	Powdery_mildew	SNB	Location	Height	days_to_head
Parent	MPV57	-	1	4/15/2022			Kinston	85	168
UX2023	UX2023-79	+	4	4/1/2022			Kinston	90	154
UX2023	UX2023-104	+	3	4/6/2022			Kinston	100	159
UX2023	UX2023-114	+	2	4/7/2022			Kinston	80	160
UX2023	UX2023-70	+	2	4/8/2022			Kinston	100	161
UX2023	UX2023-89	+	1	4/13/2022			Kinston	80	166
UX2023	UX2023-21	+	2	4/14/2022			Kinston	95	167
UX2023	UX2023-18	+	2	4/9/2022			Kinston	100	162
UX2023	UX2023-99	+	3	4/2/2022			Kinston	95	155
UX2023	UX2023-10	+	2	4/11/2022			Kinston	85	164
Parent	TX12D4896	+	4	4/4/2022			Kinston	85	157
Parent	AGS2000	+	4	4/2/2022			Kinston	90	155
UX2023	UX2023-83	+	3	4/7/2022			Kinston	80	160
UX2023	UX2023-24	+	2	4/15/2022			Kinston	90	168
UX2023	UX2023-94	+	2	4/14/2022			Kinston	90	167
UX2023	UX2023-76	+	4	4/4/2022			Kinston	85	157
UX2023	UX2023-65	+	1	4/8/2022			Kinston	90	161
Parent	GA05450-EL52	+	3	4/3/2022			Kinston	90	156
UX2023	UX2023-101	+	3	4/6/2022			Kinston	95	159
UX2023	UX2023-80	+	2	4/13/2022			Kinston	90	166
UX2023	UX2023-8	+	3	3/31/2022			Kinston	80	153
UX2023	UX2023-119	+	2	4/15/2022			Kinston	85	168
UX2023	UX2023-57	+	1	4/13/2022			Kinston	80	166
UX1994	UX1994-9	+	2	4/12/2022	0		Kinston	85	165
UX1997	UX1997-119	+	3	4/5/2022	1		Kinston	85	158
UX1997	UX1997-28	-	2	4/12/2022	2		Kinston	85	165
UX1994	UX1994-29	+	1	4/12/2022	0		Kinston	90	165
UX1997	UX1997-106	-	2	4/11/2022	0		Kinston	85	164
UX1997	UX1997-20	-	3	4/4/2022	0		Kinston	95	157
UX1997	UX1997-12	+	2	4/7/2022	0		Kinston	90	160
UX1997	UX1997-111	-	4	3/29/2022	0		Kinston	70	151
UX1994	UX1994-24	+	1	4/12/2022	0		Kinston	90	165
Parent	GA06493-13LE6	+	2	3/31/2022	0		Kinston	90	153
UX1997	UX1997-125	-	2	4/14/2022	2		Kinston	90	167
UX1997	UX1997-123	+	2	4/14/2022	0		Kinston	80	167
UX1997	UX1997-19	-	2	4/12/2022	1		Kinston	70	165
UX1997	UX1997-115	-	3	3/29/2022	1		Kinston	85	151
UX1997	UX1997-4	-	2	4/13/2022	0		Kinston	85	166
Parent	LA09264C-P2	+	4	3/27/2022	1		Kinston	80	149
UX1997	UX1997-130	+	3	4/1/2022	0		Kinston	80	154
UX1997	UX1997-39	-	2	4/14/2022	0		Kinston	95	167
UX1997	UX1997-113	-	4	3/29/2022	1		Kinston	80	151
UX1994	UX1994-42	+	2	4/8/2022	0		Kinston	85	161
UX1997	UX1997-24	+	4	4/1/2022	0		Kinston	85	154
UX1997	UX1997-124	-	2	4/15/2022	4		Kinston	90	168
Parent	NC8248-1	+	4	3/31/2022	1		Kinston	90	153
UX1997	UX1997-3	-	4	4/1/2022	0		Kinston	95	154
UX1997	UX1997-126	-	4	4/4/2022	0		Kinston	95	157
UX1997	UX1997-4	-	2	4/12/2022	2		Kinston	90	165
UX1997	UX1997-137	-	2	4/4/2022	0		Kinston	100	157
UX1997	UX1997-138	-	4	3/28/2022	1		Kinston	85	150
Parent	AGS2000	+	4	4/1/2022	2		Kinston	95	154
UX1997	UX1997-129	-	4	3/31/2022	1		Kinston	90	153
UX1997	UX1997-35	+	3	4/7/2022	1		Kinston	95	160
UX1997	UX1997-110	+	4	4/2/2022	1		Kinston	80	155
UX1997	UX1997-142	-	2	4/14/2022	1		Kinston	85	167
Parent	Hilliard	+	2	4/7/2022	0		Kinston	90	160
UX1997	UX1997-148	-	3	4/2/2022	0		Kinston	90	155
UX1997	UX1997-6	+	4	3/30/2022	0		Kinston	80	152
UX1997	UX1997-127	+	4	4/1/2022	0		Kinston	80	154
UX1994	UX1994-26	+	2	4/9/2022	0		Kinston	85	162
UX1997	UX1997-37	+	2	4/12/2022	0		Kinston	100	165
UX1994	UX1994-18	+	2	4/7/2022	0		Kinston	90	160
UX1997	UX1997-16	-	2	4/12/2022	0		Kinston	90	165
UX1997	UX1997-144	-	3	4/1/2022	0		Kinston	85	154
Parent	MPV57	-	1	4/14/2022	1		Kinston	75	167
Parent	NC08-23383	-	2	4/11/2022	0		Kinston	80	164
UX1997	UX1997-109	+	2	4/13/2022	0		Kinston	90	166
UX1997	UX1997-114	-	4	3/30/2022	1		Kinston	80	152
UX1997	UX1997-136	-	3	4/4/2022	1		Kinston	95	157
UX1997	UX1997-60	+	2	4/12/2022	0		Kinston	95	165
Parent	ARGA051160-14LE31	-	2	4/10/2022	1		Kinston	95	163
UX1997	UX1997-141	-	2	4/12/2022	3		Kinston	95	165
UX1997	UX1997-105	-	3	4/3/2022	4		Kinston	85	156
UX1997	UX1997-139	+	4	4/2/2022	1		Kinston	90	155
UX1997	UX1997-143	+	4	3/30/2022	1		Kinston	95	152
UX1997	UX1997-36	-	3	3/31/2022	0		Kinston	100	153
UX1997	UX1997-11	-	3	4/5/2022	0		Kinston	90	158
UX1997	UX1997-134	-	3	4/8/2022	1		Kinston	90	161
UX1997	UX1997-103	+	4	3/31/2022	2		Kinston	95	153
UX1997	UX1997-133	-	3	4/5/2022	1		Kinston	95	158
Parent	SS8641	-	3	4/6/2022	0		Kinston	90	159
UX1994	UX1994-70	*	3	4/7/2022	0		Kinston	95	160
UX1997	UX1997-7	+	4	4/2/2022	1		Kinston	80	155
Parent	GA001138-8E36	+	4	4/8/2022	0		Kinston	95	161
UX1997	UX1997-140	-	3	4/12/2022	1		Kinston	80	165
Parent	GA05450-EL52	+	2	4/6/2022	1		Kinston	80	159
UX1997	UX1997-135	-	3	4/3/2022	0		Kinston	85	156
